,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
72,11543376546,Morning Workout,2024-06-01T08:31:39Z,Workout,0.0,3684,3684,0,[],garmin_ping_344523596339
73,11530986274,Evening Workout,2024-05-30T18:40:31Z,Workout,0.0,3609,3609,0,[],garmin_ping_344156191998
74,11507144025,Afternoon Run,2024-05-27T16:47:46Z,Run,6935.0,3217,3707,48.9,"[-35.25576665997505, 149.07671000808477]",garmin_ping_343427116596
75,11474337838,Morning Run,2024-05-23T06:25:50Z,Run,7013.4,2927,3107,41.1,"[-35.25487868115306, 149.07617080025375]",garmin_ping_342395371208
76,11436047428,Afternoon Ride,2024-05-18T13:12:57Z,Ride,27276.3,7129,11446,378.1,"[-35.312656396999955, 149.03211602009833]",garmin_ping_341291388940
77,11420434111,Morning Run,2024-05-16T08:27:52Z,Run,6828.5,2915,2916,73.3,"[-35.156011283397675, 149.1166866570711]",garmin_ping_340775627786
78,11372736983,Morning Run,2024-05-10T06:20:51Z,Run,8452.8,3532,3551,65.3,"[-35.15667085535824, 149.1167344339192]",garmin_ping_339358253570
79,11364239736,Morning Run,2024-05-09T06:15:44Z,Run,5147.7,2588,2588,73.8,"[-35.15598865225911, 149.11611299961805]",garmin_ping_339121339002
80,11351153917,Evening Run,2024-05-07T18:40:57Z,Run,5782.1,2573,2573,47.0,"[-35.15620029531419, 149.11589599214494]",garmin_ping_338768860691
81,11327133366,Afternoon Ride,2024-05-04T14:59:58Z,Ride,11957.7,4936,7436,267.9,"[-35.324990702793, 149.34874517843127]",garmin_ping_338050100676
82,11273640894,Evening Run,2024-04-27T18:31:39Z,Run,8329.3,3454,3461,38.0,"[-35.277981888502836, 149.12622534669936]",garmin_ping_336442651115
83,11228235013,Morning Ride,2024-04-21T08:47:53Z,Ride,21389.6,5578,9612,62.4,"[-35.27506548911333, 149.119265768677]",garmin_ping_335027004731
84,11219831793,Morning Run,2024-04-20T08:29:35Z,Run,6420.2,3034,3083,69.9,"[-35.156096275895834, 149.1163853276521]",garmin_ping_334769523757
85,11198400029,Morning Run,2024-04-17T07:37:24Z,Run,5094.4,2098,2109,35.8,"[-35.1560013089329, 149.11609338596463]",garmin_ping_334088998904
86,11184333694,Morning Run,2024-04-15T08:08:00Z,Run,4298.9,1745,1863,25.9,"[-35.18487034365535, 149.13236576132476]",garmin_ping_333652041351
87,11167822670,Morning Run,2024-04-13T08:57:12Z,Run,9084.6,4088,4136,59.3,"[-35.15643381513655, 149.11555853672326]",garmin_ping_333217364100
88,11141096943,Night Run,2024-04-09T21:21:30Z,Run,4762.8,2218,2245,42.3,"[-35.15419324859977, 149.11645330488682]",garmin_ping_332450648284
89,11122589352,Morning Run,2024-04-07T08:05:05Z,Run,5365.3,2404,2440,59.5,"[-35.15640053898096, 149.11663477309048]",garmin_ping_331895772876
90,10912530346,30k on the fixie in BA and only got hit once baby,2024-03-07T15:29:49Z,Ride,33879.9,6648,10306,132.6,"[-34.556754659861326, -58.46797940321267]",garmin_ping_325429903685
91,10899098605,Evening Run,2024-03-05T19:40:10Z,Run,4283.9,1782,1816,13.5,"[-34.55680478364229, -58.46806640736759]",garmin_ping_325040730282
92,10870756263,Morning Ride,2024-03-02T08:27:55Z,Ride,34293.3,8179,12128,169.9,"[-35.27515819296241, 149.11960548721254]",garmin_ping_324253065982
93,10869687158,Morning Ride,2024-03-02T06:58:57Z,Ride,16882.1,2160,2434,65.9,"[-35.27578096836805, 149.1195919085294]",garmin_ping_324221034142
94,10860333625,Night Run,2024-02-29T21:49:35Z,Run,5012.5,1792,1792,42.6,"[-35.15574381686747, 149.1147634293884]",garmin_ping_323951555908
95,10850664989,Morning Ride,2024-02-28T07:50:10Z,Ride,0.0,3675,3675,0,[],garmin_ping_323658384620
96,10839709858,Night Run,2024-02-26T21:25:16Z,Run,7255.6,3247,3247,62.6,"[-35.156480334699154, 149.1158163640648]",garmin_ping_323358203504
97,10830430717,Morning Ride,2024-02-25T10:17:00Z,Ride,0.0,3573,3573,0,[],garmin_ping_323080394915
98,10810052362,Morning Run,2024-02-22T06:43:07Z,Run,7184.2,3041,3126,47.2,"[-35.15569067560136, 149.11623001098633]",garmin_ping_322485734728
99,10803446598,Morning Ride,2024-02-21T06:53:54Z,Ride,31320.8,4676,4800,154.7,"[-35.27521929703653, 149.1192430537194]",garmin_ping_322300062768
100,10796123617,Morning Run,2024-02-20T06:51:21Z,Run,5976.9,3144,3144,80.4,"[-35.15645041130483, 149.11541763693094]",garmin_ping_322100599460
101,10790596981,Morning Ride,2024-02-19T09:13:14Z,Ride,17542.3,2540,2936,68.8,"[-35.2750516589731, 149.11929443478584]",garmin_ping_321924190143
102,10784883845,Evening Run,2024-02-18T19:19:14Z,Run,7364.9,3394,3488,61.8,"[-35.15900446102023, 149.1176253464073]",garmin_ping_321803664199
103,10783632883,Morning Ride,2024-02-18T10:35:07Z,Ride,31460.7,4546,4980,155.0,"[-35.27509558014572, 149.11934355273843]",garmin_ping_321745600942
104,10771857187,Evening Workout,2024-02-16T20:06:27Z,Workout,0.0,2724,2724,0,[],garmin_ping_321431977344
105,10752087754,Evening Run,2024-02-13T20:12:04Z,Run,5497.1,2649,2650,51.7,"[-35.15597163699567, 149.11670576781034]",garmin_ping_320864061817
106,10737915350,Morning Ride,2024-02-11T07:36:05Z,Ride,161853.0,27470,30738,1472.5,"[-35.154212359339, 149.11639815196395]",garmin_ping_320439341604
107,10697471041,Morning Run,2024-02-05T05:40:05Z,Run,9322.9,4828,5607,245.8,"[-35.15634035691619, 149.11454759538174]",garmin_ping_319241183968
108,10691020180,Morning Ride,2024-02-04T07:09:38Z,Ride,27311.9,6522,14218,228.1,"[-35.275140423327684, 149.1192671097815]",garmin_ping_319078635866
109,10685391015,Evening Run,2024-02-03T19:46:02Z,Run,5421.4,2180,2460,65.2,"[-35.15483010560274, 149.11630150862038]",garmin_ping_318952933792
110,10643143302,Morning Ride,2024-01-28T07:53:04Z,Ride,28087.0,6170,9218,145.8,"[-35.27506138198078, 149.1192852985114]",garmin_ping_317743863993
111,10631498107,Evening Run,2024-01-26T18:03:20Z,Run,10022.4,4036,4055,70.8,"[-35.154370022937655, 149.1162886004895]",garmin_ping_317438632764
112,10619387766,Night Run,2024-01-24T21:46:29Z,Run,6102.8,2511,2591,58.0,"[-35.15642794780433, 149.115837989375]",garmin_ping_317093037095
113,10591864848,Afternoon Run,2024-01-20T15:28:05Z,Walk,2194.6,1777,1777,0,[],garmin_ping_316295602360
114,10586734092,Afternoon Ride,2024-01-19T15:59:05Z,Ride,55729.4,9392,11582,264.1,"[-35.27519197203219, 149.11921539343894]",garmin_ping_316146492042
115,10578378799,Morning Ride,2024-01-18T06:27:41Z,Ride,30990.6,4504,4865,151.6,"[-35.27720421552658, 149.12083469331264]",garmin_ping_315885652710
116,10566828596,Lunch Run,2024-01-16T11:31:33Z,Walk,4288.8,3579,3579,0,[],garmin_ping_315554920240
117,10548433168,Evening Run,2024-01-13T20:02:54Z,Run,9019.8,3949,4008,59.3,"[-35.15642543323338, 149.1154698561877]",garmin_ping_315059230262
118,10509481562,Evening Run,2024-01-07T18:44:24Z,Run,7039.9,2965,2965,75.4,"[-35.15643800608814, 149.1144877485931]",garmin_ping_313922022015
119,10502935337,Evening Run,2024-01-06T19:07:49Z,Run,5029.4,2026,2067,77.4,"[-35.156957348808646, 149.11431214772165]",garmin_ping_313740549795
120,10483995532,Evening Ride,2024-01-03T18:06:35Z,Ride,27725.0,3910,4176,245.2,"[-35.15637598000467, 149.11608860827982]",garmin_ping_313168698549
121,10471637524,Lunch Ride,2024-01-01T11:53:58Z,Ride,95380.2,14569,17279,755.7,"[-35.18480638973415, 149.1324132028967]",garmin_ping_312742751615
122,10460474384,Evening Ride,2023-12-30T19:36:48Z,Ride,16389.3,2790,4095,141.9,"[-35.15606098808348, 149.11653645336628]",garmin_ping_312425887443
123,10413427516,Afternoon Ride,2023-12-21T15:56:47Z,Ride,62599.8,9390,11825,402.0,"[-35.276035107672215, 149.11944556050003]",garmin_ping_310910135024
124,10398434498,Evening Ride,2023-12-18T19:34:00Z,Ride,8049.0,1149,1149,56.7,"[-35.27525617741048, 149.11932704038918]",garmin_ping_310412064195
125,10387543849,Afternoon Ride,2023-12-16T17:33:02Z,Ride,46115.4,7788,10578,355.2,"[-35.15604196116328, 149.1165640298277]",garmin_ping_310075498634
126,10386210237,Morning Run,2023-12-16T09:40:09Z,Run,4987.7,2337,2347,53.9,"[-35.15588941052556, 149.11667567677796]",garmin_ping_310011742474
127,10313336508,Morning Run,2023-12-02T08:58:53Z,Run,10016.2,3951,4094,69.5,"[-35.15611664392054, 149.11607209593058]",garmin_ping_307660238225
128,10308970157,Morning Ride,2023-12-01T09:43:17Z,Ride,32414.5,5057,6096,182.5,"[-35.27639125473797, 149.11980682052672]",garmin_ping_307506631520
129,10304571409,Afternoon Ride,2023-11-30T15:31:12Z,Ride,33858.8,5351,6441,241.7,"[-35.15605461783707, 149.11671607755125]",garmin_ping_307377108041
130,10292291249,Morning Ride,2023-11-28T08:22:57Z,Ride,31671.4,4606,5190,167.1,"[-35.27518602088094, 149.11922863684595]",garmin_ping_306994629729
131,10287520808,Morning Ride,2023-11-27T09:09:59Z,Ride,16455.2,2344,2718,62.7,"[-35.275168754160404, 149.11922553554177]",garmin_ping_306823836458
132,10282617316,Evening Run,2023-11-26T18:10:11Z,Run,5378.5,2935,2980,62.6,"[-35.15653188340366, 149.116229172796]",garmin_ping_306709454450
